1,Proper Form Goblet Squat,any load,1
2,Goblet Squat,24kg,10
3,Double Kettlebell Front Squat,32kg,10
4,Back Squat,bodyweight,1
5,Front Squat,bodyweight,1
6,Back Squat,bodyweight,15
7,Overhead Squat,bodyweight,15
