1,Push Ups,bodyweight,1
2,One Arm Kettlebell Press,10 kg,5
3,Double Kettlebell Press,12 kg,5
4,Double Kettlebell Press,16 kg,1
5,One Arm Overhead Press,1/3 * bodyweight,1
6,Bench Press,bodyweight,1
7,Two Arm Kettlebell Press,2/3 * bodyweight,1
