1,Push Ups,bodyweight,10
2,One Arm Kettlebell Press,24 kg,5
3,Double Kettlebell Press,32 kg,5
4,Bench Press,bodyweight,1
5,One Arm Overhead Press,0.5 * bodyweight,1
6,Bench Press,bodyweight,15
7,Two Arm Kettlebell Press,bodyweight,15
