1,Hip Hinge with Proper Form,any load,1
2,Kettlebell Swing (Proper Form),24 kg,20
3,Double Kettlebell Clean,32 kg,10
4,Barbell Clean,bodyweight,1
5,Barbell Deadlift, 2 * bodyweight,1
6,Barbell Snatch,bodyweight,1
7,Barbell Deadlift,2.5 * bodyweight,1
