1,Batwings (thumbs in armpits),8 kg,10 secs
2,Suspension Trainer Row,bodyweight,20
3,Row (feet elevated),bodyweight,10
4,Chin Ups,bodyweight,1
5,Pull Ups,bodyweight,3
6,Pull Ups,bodyweight,3
7,Weighted Pull Up,bodyweight + 24 kg,1
