1,Proper Form Goblet Squat,any load,1
2,Goblet Squat,12 kg,10
3,Double Kettlebell Front Squat,16 kg,10
4,Back Squat,135 lbs,5
5,Back Squat,bodyweight,1
6,Front Squat,bodyweight,1
7,Back Squat,bodyweight,1
